replicate,n,q,ENE,beta.mu,sigma,x.cor,model,train.oracle.rsq,model.rsq.test,model.rsq.Ey.test,model.mse.test,meanSStot,nme,n2fi1par,n2fi2par,execution.time,seed
1,250,20,10,1,0.5,0,lasso,0.969350878787185,0.96883235824146,0.998301388974547,0.283650536788215,8.30258656689549,4,2,2,0.590441942214966,10001
1,1000,20,10,1,0.5,0,lasso,0.953122757859037,0.951785921373332,0.999322475093873,0.26185535187334,5.23719507331769,2,3,0,0.533167123794556,10002
1,250,50,10,1,0.5,0,lasso,0.981838373087503,0.980624712708398,0.995229317703863,0.429154137348645,16.4382442401633,8,3,5,1.22425889968872,10003
1,1000,50,10,1,0.5,0,lasso,0.986462699818959,0.985414324083355,0.999466070438406,0.278049480163154,17.9680099523161,9,2,7,2.78441286087036,10004
1,250,20,20,1,0.5,0,lasso,0.991111224122808,0.98619545439679,0.996785889143074,0.375478429814878,23.0617392719029,10,6,7,0.319439888000488,10005
1,1000,20,20,1,0.5,0,lasso,0.988532501076596,0.987790384481322,0.999503072949173,0.276390416080769,21.4315341877334,11,3,7,0.524052858352661,10006
1,250,50,20,1,0.5,0,lasso,0.993536609358121,0.977354006129948,0.983975361392146,1.15321687153633,35.7338079363924,14,8,13,1.30268812179565,10007
1,1000,50,20,1,0.5,0,lasso,0.981718091229665,0.983132701090502,0.999552233156077,0.278739437675723,15.1786153789977,8,4,3,2.81117606163025,10008
1,250,20,10,3,0.5,0,lasso,0.996806225873985,0.996350245381266,0.999713067304698,0.289826583577967,72.4700556027394,4,2,2,0.223371028900146,10009
1,1000,20,10,3,0.5,0,lasso,0.99670887760764,0.996047159798477,0.999988725783913,0.253000892247657,63.4488710013368,4,3,0,0.423585891723633,10010
1,250,50,10,3,0.5,0,lasso,0.995264443035242,0.995744667387445,0.999674253164925,0.296468063475974,63.154125391563,5,1,1,0.856519937515259,10011
1,1000,50,10,3,0.5,0,lasso,0.995241277425884,0.995498656431389,0.999975826816491,0.255617023419471,54.280731973448,4,2,0,2.22260999679565,10012
1,250,20,20,3,0.5,0,lasso,0.998688654888961,0.998102809290972,0.999691359520478,0.320068821430801,154.406928357199,10,5,2,0.151495933532715,10013
1,1000,20,20,3,0.5,0,lasso,0.998729775861251,0.998661562285748,0.99994705108339,0.264276750746716,192.68925294726,10,7,5,0.389701128005981,10014
1,250,50,20,3,0.5,0,lasso,0.997728027188513,0.997139533035344,0.999568143398136,0.376677504833292,105.056692754158,7,4,1,0.825104951858521,10015
1,1000,50,20,3,0.5,0,lasso,0.998924754879363,0.999021212417238,0.999949341761716,0.3224433764499,260.480746627064,11,6,11,2.37530612945557,10016
1,250,20,10,1,2,0,lasso,0.747423094004923,0.688627717502886,0.943942619535387,4.75708061004828,15.002133323686,5,3,3,0.673755884170532,10017
1,1000,20,10,1,2,0,lasso,0.546531571867948,0.559528061502057,0.992387978802501,4.06528781713002,9.06278597755001,3,2,0,0.501322031021118,10018
1,250,50,10,1,2,0,lasso,0.427052394472621,0.403420009370413,0.766690384041672,5.31161639099856,8.18588322635224,3,0,1,1.18070697784424,10019
1,1000,50,10,1,2,0,lasso,0.756323459372124,0.753581339091469,0.984052259938881,4.37926802288006,17.1331005150456,6,3,4,4.66753196716309,10020
1,250,20,20,1,2,0,lasso,0.770738403833981,0.722575997380746,0.909979927022905,5.67842551754216,19.2639652439698,8,4,3,0.678731203079224,10021
1,1000,20,20,1,2,0,lasso,0.867370571225066,0.859298938348386,0.992539824845364,4.5661341117935,30.7091719669872,11,11,4,0.501328945159912,10022
1,250,50,20,1,2,0,lasso,0.783022162211233,0.707447218445891,0.911684326294435,5.71907382845608,18.1397158670532,9,2,3,1.10045194625854,10023
1,1000,50,20,1,2,0,lasso,0.907341328741477,0.880165216281535,0.985570349803275,4.57888129680765,37.1686995542547,15,6,12,3.75582981109619,10024
1,250,20,10,3,2,0,lasso,0.963742029970482,0.961040222477996,0.995862408615086,4.67435005980707,111.994698395623,6,3,3,0.379726886749268,10025
1,1000,20,10,3,2,0,lasso,0.97230820540291,0.965470390194005,0.999362786331556,4.15158538501927,118.279645525241,6,2,5,0.431557893753052,10026
1,250,50,10,3,2,0,lasso,0.976264345467154,0.959513847376064,0.986272917947641,6.336544415603,146.273033229551,7,6,3,0.908223152160645,10027
1,1000,50,10,3,2,0,lasso,0.963153173668306,0.964580162579694,0.998134725269459,4.2917247664538,114.487806428561,5,2,5,2.70570802688599,10028
1,250,20,20,3,2,0,lasso,0.975597324878381,0.97380545579943,0.996085347621977,5.77132693779639,174.284961548047,9,4,6,0.322917938232422,10029
1,1000,20,20,3,2,0,lasso,0.982447216870765,0.981020097354999,0.999462571929463,4.33521157305421,217.709356370293,13,6,4,0.452489852905273,10030
1,250,50,20,3,2,0,lasso,0.973781860842764,0.962159346914731,0.992898285360757,5.19891180518149,128.121014600862,7,6,1,0.934146165847778,10031
1,1000,50,20,3,2,0,lasso,0.956079655440093,0.959510345755505,0.997964964589009,4.3566163600957,103.6646627131,5,6,0,2.87020897865295,10032
1,250,20,10,1,0.5,0.8,lasso,0.998773996991148,0.997818595958287,0.999239891355461,0.386635493015624,176.047596290183,10,7,16,0.228954076766968,10033
1,1000,20,10,1,0.5,0.8,lasso,0.982976574347128,0.983175536708151,0.999763783737229,0.251119368176235,14.880578630191,5,2,1,0.549310922622681,10034
1,250,50,10,1,0.5,0.8,lasso,0.976485839334926,0.97670755171861,0.997022604672525,0.297934941427245,12.0348606385309,3,3,2,0.914003133773804,10035
1,1000,50,10,1,0.5,0.8,lasso,0.995691755581898,0.994587710768362,0.999651463163216,0.283104565336719,48.3261801428635,10,5,9,2.58094477653503,10036
1,250,20,20,1,0.5,0.8,lasso,0.994221941587707,0.99333409756805,0.999483494441651,0.266661742596954,39.4930309278993,9,2,2,0.348551988601685,10037
1,1000,20,20,1,0.5,0.8,lasso,0.995986499597102,0.996397856285525,0.999881453534951,0.266773677622656,73.3433833481367,10,5,5,0.46428394317627,10038
1,250,50,20,1,0.5,0.8,lasso,0.991255051514243,0.989724522918697,0.997821706572806,0.376315863194758,30.5981128320112,8,8,2,0.973266839981079,10039
1,1000,50,20,1,0.5,0.8,lasso,0.993080656931821,0.993439900064679,0.999711058940304,0.278180109373437,39.9449773618907,9,5,3,2.41748809814453,10040
1,250,20,10,3,0.5,0.8,lasso,0.998809085981365,0.998816674315301,0.999870288642515,0.299382077028424,242.303556834467,6,1,4,0.136540174484253,10041
1,1000,20,10,3,0.5,0.8,lasso,0.995107319159425,0.995007464744774,0.999963153046163,0.259812431618506,51.1585359979753,3,0,1,0.475476026535034,10042
1,250,50,10,3,0.5,0.8,lasso,0.99859258698681,0.998190404195302,0.999720256095439,0.335822022904831,164.258730613965,6,2,4,0.841822862625122,10043
1,1000,50,10,3,0.5,0.8,lasso,0.992779550749606,0.993334335300997,0.999931040890575,0.255525784721189,37.5675327057947,3,1,0,2.32814502716064,10044
1,250,20,20,3,0.5,0.8,lasso,0.999669536161141,0.999459397123202,0.999769050466948,0.955383559261605,816.314004375887,12,7,5,0.147502899169922,10045
1,1000,20,20,3,0.5,0.8,lasso,0.999552175695099,0.999538903932508,0.999919087771605,0.601181182184742,641.122629954181,10,4,7,0.217276096343994,10046
1,250,50,20,3,0.5,0.8,lasso,0.999571532821129,0.998911608237329,0.999345798021031,1.04379203767922,573.351801150385,15,3,9,0.924503803253174,10047
1,1000,50,20,3,0.5,0.8,lasso,0.998986633784187,0.999062799233063,0.999959116658557,0.314218219709645,279.452426806112,9,5,3,2.49586200714111,10048
1,250,20,10,1,2,0.8,lasso,0.86753346518787,0.829654781499459,0.958527396783406,5.0351483474709,29.3696340880742,7,3,2,1.81792902946472,10049
1,1000,20,10,1,2,0.8,lasso,0.898065803792558,0.893083154784587,0.996200091432275,4.11332794417228,38.21151139803,4,7,1,0.646475791931152,10050
1,250,50,10,1,2,0.8,lasso,0.673036084632199,0.603032455307617,0.933033081604606,4.43740844619925,11.040933089671,3,1,2,1.41536998748779,10051
1,1000,50,10,1,2,0.8,lasso,0.78932748509732,0.793095797602355,0.99032818589526,4.2669975592125,20.4496511460063,5,1,1,2.91576480865479,10052
1,250,20,20,1,2,0.8,lasso,0.974042499794956,0.947029575709565,0.987184343410504,5.20687154757408,97.7856979871056,13,3,8,0.593027830123901,10053
1,1000,20,20,1,2,0.8,lasso,0.955531366928565,0.955231270807829,0.997218642276897,4.14265441969675,91.8887935155885,11,9,3,0.606626987457275,10054
1,250,50,20,1,2,0.8,lasso,0.910696813947798,0.868276400933752,0.956322184399433,6.42880708440307,44.402422622444,11,6,2,1.07492899894714,10055
1,1000,50,20,1,2,0.8,lasso,0.888504025031604,0.875134627933292,0.996009241166595,4.21173010984609,33.3324166377138,6,2,4,2.77869200706482,10056
1,250,20,10,3,2,0.8,lasso,0.954398168803069,0.955075395052441,0.998031866920852,4.39487734596773,95.5170860860259,2,2,1,0.815510034561157,10057
1,1000,20,10,3,2,0.8,lasso,0.982868503211404,0.981709234371266,0.99943997130504,4.19341217511721,228.581692241417,6,2,3,0.515085220336914,10058
1,250,50,10,3,2,0.8,lasso,0.99047749677823,0.984163932769342,0.996213886279107,5.96775010330201,333.468780665376,7,3,5,0.88017201423645,10059
1,1000,50,10,3,2,0.8,lasso,0.896994756060975,0.892364774967826,0.999903442205936,3.93336732907085,36.4361328134506,2,0,0,2.32170104980469,10060
1,250,20,20,3,2,0.8,lasso,0.986723182637108,0.984295032351219,0.997161482319781,4.85224774166328,307.614257545874,7,3,4,0.449517965316772,10061
1,1000,20,20,3,2,0.8,lasso,0.996056764130083,0.995871019414522,0.999862776320529,4.21219844956868,1014.62322321938,14,1,8,0.426217079162598,10062
1,250,50,20,3,2,0.8,lasso,0.993827357719971,0.986989035699946,0.996117303864707,6.21464061741877,439.619637464695,13,5,5,0.978744983673096,10063
1,1000,50,20,3,2,0.8,lasso,0.991574715170384,0.991260908485622,0.999501058062391,4.52698549266048,483.201247636051,10,8,5,2.47939586639404,10064
1,250,20,10,1,0.5,0,rf,0.98096857470194,0.346294408867599,0.35316737614771,7.95379370066341,11.7431485295384,5,5,2,5.32913112640381,10065
1,1000,20,10,1,0.5,0,rf,0.980750231642378,0.745088994651349,0.761638415352194,4.25327038620964,12.1994780586237,6,2,4,30.4416508674622,10066
1,250,50,10,1,0.5,0,rf,0.976338811185744,0.468544676280776,0.480357135905534,6.77700887440032,10.1525548799244,5,3,2,10.0621869564056,10067
1,1000,50,10,1,0.5,0,rf,0.971965493529672,0.66160523477659,0.683060117867492,3.21819066905404,8.32603917755486,4,3,1,70.8806569576263,10068
1,250,20,20,1,0.5,0,rf,0.988139755133444,0.462442299213661,0.467500040911131,10.8301211446497,15.9033694001485,9,6,1,4.57473087310791,10069
1,1000,20,20,1,0.5,0,rf,0.988218167969582,0.600215841012951,0.606137744741528,12.2993631788809,22.3683683266128,11,5,6,28.4689121246338,10070
1,250,50,20,1,0.5,0,rf,0.97672641560455,0.508274706208736,0.520079334753577,5.95114249323448,10.2616466588228,6,3,1,10.6913709640503,10071
1,1000,50,20,1,0.5,0,rf,0.991393475210795,0.492250785832973,0.498464498141939,15.7114119903953,24.3207654894188,12,3,9,68.5349659919739,10072
1,250,20,10,3,0.5,0,rf,0.997283108542847,0.608942745874905,0.611163354187471,32.6463324335734,73.4719427299551,4,2,2,6.50022912025452,10073
1,1000,20,10,3,0.5,0,rf,0.998324068526977,0.686494847089645,0.687851326224756,69.2666352751804,150.812532543853,8,2,7,42.5837948322296,10074
1,250,50,10,3,0.5,0,rf,0.995811629311531,0.497469828255588,0.500404165342824,34.6076092679524,62.5195538697525,3,3,1,20.2580049037933,10075
1,1000,50,10,3,0.5,0,rf,0.996529511210141,0.719398241433942,0.721225358089515,26.7142930860351,75.4468905112297,4,3,1,147.619978189468,10076
1,250,20,20,3,0.5,0,rf,0.998745810879184,0.484607215984385,0.485640842961028,121.79029679438,195.28902375419,11,4,7,11.8150849342346,10077
1,1000,20,20,3,0.5,0,rf,0.998472079817553,0.70065388503136,0.700819976591826,71.8734791984767,161.123998578135,9,3,6,78.7354431152344,10078
1,250,50,20,3,0.5,0,rf,0.999143510679051,0.350256778242092,0.351096059269303,226.753291902794,275.189191317493,17,4,9,21.8605499267578,10079
1,1000,50,20,3,0.5,0,rf,0.998217226508498,0.572300071397042,0.572880169323432,69.6276361762189,134.031963820371,7,5,3,144.675921916962,10080
1,250,20,10,1,2,0,rf,0.462518370766493,0.275457576322955,0.627700487571724,5.08172127500179,6.97554415074881,2,1,0,11.1480050086975,10081
1,1000,20,10,1,2,0,rf,0.853144760714124,0.53751015414384,0.642412658529271,14.2485916526866,25.486779633261,8,4,9,76.4679119586945,10082
1,250,50,10,1,2,0,rf,0.668341499539052,0.293634422201408,0.460186274694977,7.74607401459775,10.9197619691788,5,0,2,23.2487549781799,10083
1,1000,50,10,1,2,0,rf,0.727549936735305,0.420777174961239,0.586590385971568,9.029923129502,14.6245486004224,5,4,2,124.650594949722,10084
1,250,20,20,1,2,0,rf,0.793293150134948,0.304732647880686,0.377679680898686,15.1781448484138,20.750304115026,8,7,2,8.05875301361084,10085
1,1000,20,20,1,2,0,rf,0.861729667936835,0.515349177647288,0.600693000700988,15.0698299031985,26.8503794044003,11,2,9,52.4821889400482,10086
1,250,50,20,1,2,0,rf,0.892623270144235,0.241097273680617,0.27309491002471,27.8104820261326,33.4705315998293,14,8,8,16.1947309970856,10087
1,1000,50,20,1,2,0,rf,0.865335091840663,0.46761182356471,0.527001724153197,20.8429413014411,31.7373932166147,13,3,12,110.100802183151,10088
1,250,20,10,3,2,0,rf,0.943636715995118,0.584039637359614,0.61635223646861,36.9081156236017,78.2962649379646,4,2,2,8.35819005966187,10089
1,1000,20,10,3,2,0,rf,0.935220263188525,0.798805102851408,0.857107389635664,13.0338792607675,58.0888189681462,4,1,1,49.2894871234894,10090
1,250,50,10,3,2,0,rf,0.95744352848437,0.426702964227643,0.453324905460005,45.5489554998861,78.5566685582242,3,3,2,19.908723115921,10091
1,1000,50,10,3,2,0,rf,0.987634504483052,0.462514337381078,0.466687394900501,194.316564522116,287.633407586401,12,10,10,112.391926050186,10092
1,250,20,20,3,2,0,rf,0.977163799007385,0.389718647117936,0.399923679634978,122.061935930384,175.573742235701,9,5,5,7.72424292564392,10093
1,1000,20,20,3,2,0,rf,0.977412947422377,0.643834390257412,0.66065438243413,86.2833265081444,170.097748101312,11,3,5,64.9442019462585,10094
1,250,50,20,3,2,0,rf,0.984914920549359,0.283485804731166,0.289050859362193,212.340436968672,256.435345767729,12,12,4,21.8236501216888,10095
1,1000,50,20,3,2,0,rf,0.982409693937144,0.524253770014795,0.53460484785464,134.854307394432,224.528251434538,12,3,9,162.973052978516,10096
1,250,20,10,1,0.5,0.8,rf,0.987637834564267,0.832165299722443,0.843439795998536,3.47726647289884,18.3401131716581,4,2,2,11.7193160057068,10097
1,1000,20,10,1,0.5,0.8,rf,0.992641441567614,0.901707573075129,0.908810625383217,4.20581007231447,33.2381950122414,5,3,3,90.2878611087799,10098
1,250,50,10,1,0.5,0.8,rf,0.984608920355923,0.635718470728579,0.643292676108494,9.52005418296132,20.2265323832252,6,4,2,22.994500875473,10099
1,1000,50,10,1,0.5,0.8,rf,0.984407739440457,0.75538718969534,0.770066048675896,4.12334214765114,14.1581837743582,5,3,2,126.2659740448,10100
1,250,20,20,1,0.5,0.8,rf,0.997084239290661,0.825263218230154,0.827813307905588,17.1163422934397,75.2048017833666,10,5,6,9.23345494270325,10101
1,1000,20,20,1,0.5,0.8,rf,0.998120468824044,0.922646942590437,0.924113533482991,13.9993393355019,117.227431063902,13,6,7,48.3030090332031,10102
1,250,50,20,1,0.5,0.8,rf,0.990246851130308,0.444654871220816,0.450310885934802,21.4030486296955,32.6996941633962,8,4,7,20.114875793457,10103
1,1000,50,20,1,0.5,0.8,rf,0.974837799703439,0.83727184878012,0.859013460154524,2.28488595768677,10.5141239220004,6,1,1,119.423254013062,10104
1,250,20,10,3,0.5,0.8,rf,0.999449141855832,0.849866453850261,0.850362525821424,59.6693498061794,326.169743092916,6,3,2,8.40132999420166,10105
1,1000,20,10,3,0.5,0.8,rf,0.997811140063172,0.837773786055729,0.839695786672985,28.2134230751683,128.490001275864,4,3,2,49.0184459686279,10106
1,250,50,10,3,0.5,0.8,rf,0.996984990673453,0.647384250460348,0.648986567452652,30.9084047055794,78.3825183645652,4,2,1,21.4844310283661,10107
1,1000,50,10,3,0.5,0.8,rf,0.998451065953651,0.911770193930661,0.913512189376065,14.0096234986641,142.863344876494,5,1,2,112.635896921158,10108
1,250,20,20,3,0.5,0.8,rf,0.999678854344674,0.751664437292655,0.751809970675689,290.356567043487,842.180345438851,12,6,6,7.85294485092163,10109
1,1000,20,20,3,0.5,0.8,rf,0.999650077426557,0.878419117735212,0.878721163211487,123.492599591715,776.958095081459,11,6,6,58.2682399749756,10110
1,250,50,20,3,0.5,0.8,rf,0.999562576531967,0.686815009588556,0.687704650897803,160.497505536242,441.72191346947,11,6,6,18.1772410869598,10111
1,1000,50,20,3,0.5,0.8,rf,0.999433033371947,0.759466170339577,0.760230257539784,122.349476445415,407.190088348446,9,4,7,121.37837600708,10112
1,250,20,10,1,2,0.8,rf,0.588954691806053,0.421457070039197,0.761064099018416,5.35406927890016,9.22901087460865,3,1,0,7.38325309753418,10113
1,1000,20,10,1,2,0.8,rf,0.663718368664366,0.611680861836605,0.903547197243312,5.00154208759846,12.60525039908,4,1,0,53.5490689277649,10114
1,250,50,10,1,2,0.8,rf,0.256510409490831,0.22196942997888,0.685844317053494,4.67883897173548,5.97230435138033,2,0,0,23.8615570068359,10115
1,1000,50,10,1,2,0.8,rf,0.849802711878654,0.703874038872032,0.832936394017909,8.09747257216548,24.9609921446002,7,2,2,102.7398250103,10116
1,250,20,20,1,2,0.8,rf,0.968726297188017,0.839478746397329,0.874441627384077,21.2268568637428,97.9374824115499,12,3,7,7.84947800636292,10117
1,1000,20,20,1,2,0.8,rf,0.917192190089694,0.824202844522995,0.891077941335991,11.1132831706443,54.0655435319211,9,4,4,49.1382529735565,10118
1,250,50,20,1,2,0.8,rf,0.731674761773579,0.460664057173202,0.579981955040821,11.4800730943019,19.5363890192166,6,3,2,18.6589210033417,10119
1,1000,50,20,1,2,0.8,rf,0.939301094160462,0.750754582392982,0.798824049850369,22.30818206264,71.1583868144176,14,3,8,99.5234260559082,10120
1,250,20,10,3,2,0.8,rf,0.882327797747948,0.764515427458229,0.873524117155945,7.66778707984463,32.0718174754734,2,0,1,8.53499412536621,10121
1,1000,20,10,3,2,0.8,rf,0.990576782344907,0.87313359815388,0.882105339680774,63.9622014147577,400.429722487894,7,3,5,58.6500179767609,10122
1,250,50,10,3,2,0.8,rf,0.957796207602568,0.585716574308465,0.607527828965324,52.243506633468,106.320844422548,5,2,2,17.3209300041199,10123
1,1000,50,10,3,2,0.8,rf,0.978868639989258,0.771494239563944,0.787850136811316,48.2614198339025,177.1726358141,6,5,2,108.592700004578,10124
1,250,20,20,3,2,0.8,rf,0.993669558173946,0.814249986549342,0.817526151077758,293.1357818246,909.43885900642,10,6,7,8.50996518135071,10125
1,1000,20,20,3,2,0.8,rf,0.994705804223396,0.874458534696657,0.879514737368863,133.828113210182,781.080366151315,9,10,3,55.0934181213379,10126
1,250,50,20,3,2,0.8,rf,0.977728238118271,0.637955400618073,0.651885107815423,74.6903365488252,177.677244253568,5,5,2,18.4898669719696,10127
